PG.ProteinGroups;PG.Genes;[1] MEP_mBM_500c_40.raw.PG.Quantity;[2] MEP_mBM_500c_41.raw.PG.Quantity;[3] MEP_mBM_500c_42.raw.PG.Quantity;[4] MEP_mBM_500c_43.raw.PG.Quantity
"P10853;P10854;Q64475;Q64478;Q64525;Q6ZWY9;Q8CGP1;Q8CGP2;Q8CGP2-2";"Hist1h2bf;Hist1h2bm;Hist1h2bb;Hist1h2bh;Hist2h2bb;Hist1h2bc;Hist1h2bk;Hist1h2bp;Hist1h2bp";16323,876953125;91257,6953125;125893,171875;126886,359375
P10922;H1f0;3486,618896484375;13427,4873046875;44019,18359375;47831,11328125
P10923;Spp1;NaN;5211,681640625;22116,484375;20330,677734375
P11031;Sub1;14363,83203125;47691,71484375;36942,6015625;40828,09375
P11087;Col1a1;228024,6875;297480,75;132138,296875;739661,625
P11103;Parp1;NaN;16379,6328125;15910,6376953125;25338,173828125
P11152;Lpl;7122,107421875;NaN;299,46258544921875;NaN
P11157;Rrm2;NaN;6421,373046875;10213,9404296875;13405,328125
P11247;Mpo;13026,9677734375;213484,5625;154813,59375;108916,984375
P11276;Fn1;2068,871337890625;309,091064453125;22131,390625;23231,419921875
